HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;79,127;57,375;59,887;0,638;255;1,015;0,531;31,238;121,125;4,211
0;82,058;63,112;60,924;0,638;255;1,003;0,533;32,513;122,4;4,231
0;83,681;64,388;59,704;0,638;255;1,107;0,902;35,7;121,762;4,132
0;76,437;53,55;58,68;0,638;255;1,13;0,845;31,238;116,663;4,176
0;78,903;59,288;59,817;0,638;255;1,036;0,64;31,238;118,575;4,235
0;90,215;80,325;62,368;0,638;255;0,824;0,203;37,612;130,05;4,293
0;86,065;72,038;61,946;0,638;255;0,906;0,358;35,062;126,225;4,279
0;91,439;82,238;63,075;0,638;255;0,81;0,141;37,612;131,962;4,275
1;101,241;88,612;68,97;0,638;255;0,648;-0,448;43,988;146,625;4,384
0;84,788;69,488;61,334;0,638;255;0,93;0,419;34,425;124,95;4,252
0;96,195;85,425;64,326;0,638;255;0,78;0,058;43,988;136,425;4,315
0;94,152;88,612;63,094;0,638;255;0,772;0,106;39,525;133,237;4,27
0;92,21;81,6;61,551;0,638;255;0,906;0,493;45,262;126,862;4,306
0;96,684;84,15;67,016;0,638;255;0,78;-0,113;43,988;135,15;4,378
0;71,485;51;53,582;0,638;255;1,458;2,385;30,6;105,825;3,976
0;113,515;104,55;67,508;0,638;255;0,521;-0,484;61,2;154,913;4,393
0;81,842;68,212;57,774;0,638;255;1,022;0,842;35,7;118,575;4,242
0;85,417;72,038;54,082;0,638;255;1,199;1,509;40,8;119,85;3,994
0;86,889;76,5;58,19;0,638;255;1,023;0,896;40,8;121,125;4,25
0;84,926;71,4;59,031;0,638;255;1,253;1,45;38,887;116,663;4,109
1;94,001;84,788;62,166;0,638;255;0,826;0,124;42,713;130,05;4,342
0;87,258;79,688;57,226;0,638;255;1,194;1,47;42,075;117,3;4,139
0;89,263;79,688;62,205;0,638;255;0,749;0,024;36,338;130,688;4,329
0;88,528;80,325;61,076;0,638;255;0,768;0,132;36,338;128,775;4,318
0;93,535;92,438;61,205;0,638;255;0,707;0,149;39,525;131,325;4,289
0;91,996;89,887;60,955;0,638;255;0,727;0,177;38,25;130,688;4,28
0;95,839;97,538;60,944;0,638;255;0,655;0,103;41,438;133,237;4,28
0;98,851;101,363;67,918;0,638;255;0,718;-0,128;35,7;136,425;4,125
0;94,686;91,8;65,551;0,638;255;0,659;-0,218;35,7;137,062;4,29
0;106,835;112,838;65,654;0,638;255;0,473;-0,332;45,9;143,438;4,297
0;116,407;121,762;61,927;0,638;255;0,391;-0,078;68,212;145,988;4,241
0;94,391;95,625;64,647;0,638;255;0,652;-0,143;35,062;135,15;4,253
0;96,62;98,812;64,466;0,638;255;0,598;-0,187;37,612;137,062;4,287
0;81,152;61,2;61,618;0,638;255;0,995;0,487;31,238;123,038;4,227
0;81,062;56,1;62,251;0,638;255;1,156;0,902;32,513;122,4;4,085
0;81,571;62,475;60,764;0,638;255;0,974;0,477;32,513;123,038;4,239
0;80,742;56,738;61,085;0,638;255;1,145;0,926;32,513;122,4;4,092
0;106,256;101,363;63,536;0,638;255;0,792;0,137;55,462;135,15;4,279
0;103,895;110,288;54,773;0,638;255;0,73;0,581;53,55;134,512;4,087
0;94,485;90,525;60,1;0,638;255;0,748;0,181;42,713;131,962;4,305
0;96,25;94,988;58,552;0,638;255;0,739;0,312;45,9;131,962;4,28
0;102,941;105,188;57,519;0,638;255;0,631;0,25;53,55;135,788;4,287
0;79,802;59,288;60,516;0,638;255;1,029;0,6;30,6;121,762;4,198
0;98,608;98,175;61,474;0,638;255;0,675;0,124;45,262;134,512;4,306
0;113,82;114,75;53,781;0,638;255;0,594;0,702;79,688;138,975;4,218
0;96,876;98,175;62,316;0,638;255;0,659;0,058;40,8;134,512;4,278
0;100,07;100,725;62,759;0,638;255;0,786;0,28;44,625;133,237;4,192
0;98,375;100,088;62,386;0,638;255;0,637;0,008;42,075;135,788;4,283
0;99,398;98,175;60,641;0,638;255;0,637;0,055;47,812;135,788;4,335
0;102,394;102;63,918;0,638;255;0,564;-0,191;46,538;140,888;4,347
0;101,426;102,638;62,682;0,638;255;0,567;-0,121;45,9;139,612;4,318
0;90,662;90,525;59,166;0,638;255;0,684;0,157;37,612;130,05;4,255
0;96,761;100,725;61,31;0,638;255;0,601;-0,002;40,8;135,15;4,27
0;104,821;97,538;68,186;0,638;255;0,516;-0,557;47,812;151,725;4,422
0;98,205;101,363;60,442;0,638;255;0,539;-0,088;43,35;137,062;4,307
1;99,028;97,538;63,439;0,638;255;0,53;-0,359;42,713;140,888;4,392
0;91,899;93,075;59,488;0,638;255;0,608;-0,012;38,25;132,6;4,267
